run,seed,scenario_name,final_hp,fired_at_step,firing_range,steps,initial_range
11,11,Fast_Approach_Long,0.5075582994421435,10,2668.6228341271612,11,3030.4495072870072
11,11,Medium_Approach,0.6062668779500753,15,1932.0376038486897,16,2085.642204592074
11,11,Complex_3D_Motion,0.5047871732846548,21,2004.6125880937118,22,1880.6991215925195
11,11,ExtremeLong_Large_Lateral,0.5595972911201318,24,2933.957459024083,25,2932.5926447283387
12,12,Static_Close,0.630695013251544,11,781.6667427505238,12,780.0659566486756
12,12,Fast_Approach_Long,0.5218897852903197,9,2570.3734904740118,10,2906.7961153619285
12,12,Medium_Approach,0.6651083367079346,16,1760.6822978174746,17,1946.108249317981
12,12,Complex_3D_Motion,0.5286698244833695,20,1992.9521885493698,21,1871.3356872668428
12,12,ExtremeLong_Large_Lateral,0.5678402675561202,24,2928.8702036480518,25,2927.386487628297
13,13,Static_Close,0.6727256982916006,12,830.6899456035803,13,829.183806961327
13,13,Fast_Approach_Long,0.4918810178258218,9,2750.937309726976,10,3093.307019635303
13,13,Medium_Approach,0.6239886010752955,16,1905.8526425275254,17,2089.2931560892125
13,13,Complex_3D_Motion,0.5285882491204926,21,2005.7100933565227,22,1873.873292051851
13,13,ExtremeLong_Large_Lateral,0.5583659834530028,24,2983.1168411706967,25,2981.4840141910263
14,14,Static_Close,0.6392401923322943,11,827.9897249030669,12,826.4786655111288
14,14,Fast_Approach_Long,0.5086382994362039,10,2632.4871676973194,11,3060.8217916746166
14,14,Medium_Approach,0.6213056856309642,16,1820.915955702775,17,2009.6726417626628
14,14,Complex_3D_Motion,0.5340646770963315,21,1918.4680661837258,22,1794.0903757039534
14,14,ExtremeLong_Large_Lateral,0.5395656712527687,25,3072.1030969901612,26,3070.8171428687233
15,15,Static_Close,0.6362431693825175,11,816.9509845377902,12,815.4194694372122
15,15,Fast_Approach_Long,0.5025497636906864,9,2626.5696277170805,10,2953.322027337857
15,15,Medium_Approach,0.6605083833464103,16,1742.0909921415957,17,1929.2490853447196
15,15,Complex_3D_Motion,0.5321371008933667,21,1926.1356606436905,22,1792.2617416095968
15,15,ExtremeLong_Large_Lateral,0.5189597793638576,25,3133.6184414366985,26,3132.486408775768
16,16,Static_Close,0.7764775286386957,15,806.9039680791282,16,805.3533471103492
16,16,Fast_Approach_Long,0.5229188822030476,9,2529.6546068841726,10,2878.2221476384575
16,16,Medium_Approach,0.6510306744099135,16,1711.5747125197618,17,1904.3310006365418
16,16,Complex_3D_Motion,0.5775950184919078,20,1839.8431690564921,21,1717.9747588418911
16,16,ExtremeLong_Large_Lateral,0.5308281165316693,25,3058.990756163252,26,3057.4859267949796
17,17,Static_Close,0.7170033636213389,13,829.1149882850558,14,827.6059834238321
17,17,Fast_Approach_Long,0.5054873244869085,9,2667.2902899912974,10,3017.3233642097075
17,17,Medium_Approach,0.6327694565042579,16,1800.4452921540549,17,1977.1648075178396
17,17,Complex_3D_Motion,0.5496903993719334,20,1947.453557949514,21,1842.5494566923917
17,17,ExtremeLong_Large_Lateral,0.536107530010829,26,3150.8242548016697,27,3149.3291042768933
18,18,Static_Close,0.6429027566094007,11,793.5212852594261,12,791.9444615374058
18,18,Fast_Approach_Long,0.5058386187521539,10,2568.1157892836763,11,2934.246998410801
18,18,Medium_Approach,0.6210347893768523,15,1839.8440475008035,16,2012.7853490735906
18,18,Complex_3D_Motion,0.5280790965697413,20,1903.2227374981971,21,1795.5649745513886
18,18,ExtremeLong_Large_Lateral,0.5428930208806999,26,3118.1402278916394,27,3116.5805835529163
19,19,Static_Close,0.63815918354912,11,795.2037845010739,12,793.6303036583408
19,19,Fast_Approach_Long,0.5150324112150513,9,2604.317513307487,10,2932.1609963694846
19,19,Medium_Approach,0.6155546416950147,16,1854.1965596627297,17,2043.6370515744154
19,19,Complex_3D_Motion,0.5500370683423783,21,1899.1295365976782,22,1766.0997752082876
19,19,ExtremeLong_Large_Lateral,0.5436888652482273,25,3035.3931386337485,26,3033.9735677483723
20,20,Static_Close,0.7532126889073012,14,784.0020850372938,15,782.4060770104128
20,20,Fast_Approach_Long,0.5446596849323584,10,2485.2102660935266,11,2886.515907772932
20,20,Medium_Approach,0.6251334366514361,15,1759.8232261499559,16,1914.327909440933
20,20,Complex_3D_Motion,0.5373077625608367,21,1956.0865772636882,22,1834.9322188243657
20,20,ExtremeLong_Large_Lateral,0.5714550465441376,24,2873.361257459587,25,2872.002620265491
21,21,Static_Close,0.8156429079086955,16,824.0077820024449,17,822.4894071053977
21,21,Fast_Approach_Long,0.4787130456437184,9,2732.9827242918664,10,3062.9403571225275
21,21,Medium_Approach,0.6146426312447582,16,1919.5708519469677,17,2096.1621404448906
21,21,Complex_3D_Motion,0.4904650762228413,20,2000.8718745669803,21,1882.4879601658517
21,21,ExtremeLong_Large_Lateral,0.5652499313246692,24,2914.5338687119192,25,2912.8456422019485
22,22,Static_Close,0.7241943596235899,13,790.889833868282,14,789.3077532345661
22,22,Fast_Approach_Long,0.5377191506285551,9,2506.0365557175833,10,2876.5675119783837
22,22,Medium_Approach,0.5905144209705576,16,1905.5347700438608,17,2097.53512377604
22,22,Complex_3D_Motion,0.5659703276541304,21,1843.2349815757416,22,1719.2589781455465
22,22,ExtremeLong_Large_Lateral,0.5559794069540097,24,2950.258294120659,25,2948.8691427915205
23,23,Static_Close,0.631303872140545,11,817.0459831482507,12,815.5146464525892
23,23,Fast_Approach_Long,0.5145647108904038,9,2556.895208591794,10,2888.593267295291
23,23,Medium_Approach,0.6071938676485388,15,1912.6600271851557,16,2070.691421193032
23,23,Complex_3D_Motion,0.5474731508679599,20,1953.7560286622067,21,1838.9852344662447
23,23,ExtremeLong_Large_Lateral,0.558420367091325,24,2987.8061976720664,25,2986.3998497734674
